Lucas José,M,10
João André,M,10
Lucas André,M,10
Gustavo Luís,M,10
Miguel António,M,10
Leonardo Alexandre,M,10
Rodrigo Afonso,M,10
Leandro Manuel,M,10
Miguel Pedro,M,10
João Lucas,M,10
Afonso João,M,10
Diogo Francisco,M,10
Alexandre Filipe,M,10
José Dinis,M,10
Diego Manuel,M,10
Tomás André,M,10
Duarte António,M,10
Rafael António,M,10
Dinis Rafael,M,10
Yasmine,F,10
Leila,F,10
Irene,F,10
Morgana,F,10
Lea,F,10
Victoria,F,10
Giovanna,F,10
Amanda,F,10
Concha,F,10
Cloé,F,10
Ashley,F,10
Anastácia,F,10
Cláudia Sofia,F,10
Kyara Sofia,F,10
Luana Raquel,F,10
Helena Maria,F,10
Laura Alexandra,F,10
Gabriela Alexandra,F,10
Mara Isabel,F,10
Bárbara Sofia,F,10
Maria Mel,F,10
Bianca Isabel,F,10
Alícia Maria,F,10
Luana Alexandra,F,10
Iara Beatriz,F,10
Alexandra Sofia,F,10
Yara Beatriz,F,10
Adriana Sofia,F,10
Raquel Sofia,F,10
Lara Fabiana,F,10
Constança Sofia,F,10
Helena Sofia,F,10
Stefan,M,9
Domingos,M,9
Luis,M,9
Vitor,M,9
Kenzo,M,9
Ianis,M,9
Max,M,9
Maxim,M,9
Ravi,M,9
Mathias,M,9
Isaque,M,9
Evandro,M,9
Leonardo Rafael,M,9
Manuel António,M,9
Rodrigo Rafael,M,9
Vasco José,M,9
Salvador Manuel,M,9
Fernando Miguel,M,9
Simão Manuel,M,9
Ricardo Manuel,M,9
Gustavo Daniel,M,9
Enzo Alexandre,M,9
Bruno Daniel,M,9
Henrique Alexandre,M,9
Martim Maria,M,9
António João,M,9
Salvador Alexandre,M,9
José Guilherme,M,9
Hugo Alexandre,M,9
Santiago Luís,M,9
Rúben André,M,9
Gustavo Dinis,M,9
Isaac Alexandre,M,9
Martim Gabriel,M,9
Joaquim Maria,M,9
Rodrigo Santiago,M,9
Fábio Júnior,M,9
Fábio Alexandre,M,9
Rui Filipe,M,9
Cristiano Miguel,M,9
João Mateus,M,9
Bruno Filipe,M,9
Diogo António,M,9
Magali,F,9
Daria,F,9
Luisa,F,9
Chloé,F,9
Abigail,F,9
Viviana,F,9
Maísa,F,9
Cloe,F,9
Andrea,F,9
Penélope,F,9
Joice,F,9
Noemi,F,9
Karen,F,9
Vânia,F,9
Jessica,F,9
Angela,F,9
Briana,F,9
Katia,F,9
Luzia,F,9
Célia,F,9
Eunice,F,9
Léa,F,9
Nadine,F,9
Rosa Maria,F,9
Luana Rafaela,F,9
Maria Pilar,F,9
Carlota Sofia,F,9
Matilde Leonor,F,9
Inês Isabel,F,9
Francisca Isabel,F,9
Laura Francisca,F,9
Lara Raquel,F,9
Luana Isabel,F,9
Joana Catarina,F,9
Miriam Filipa,F,9
Sara Sofia,F,9
Marta Filipa,F,9
Maria Laura,F,9
Melissa Sofia,F,9
Ana Marta,F,9
Miriam Alexandra,F,9
Joana Raquel,F,9
Laura Beatriz,F,9
Laura Margarida,F,9
Israel,M,8
Marcus,M,8
Jonatã,M,8
Augusto,M,8
Júnior,M,8
Quévin,M,8
Amadeu,M,8
Felipe,M,8
Nicolas,M,8
Lázaro,M,8
Heitor,M,8
Lukas,M,8
Luan,M,8
Fabiano,M,8
Fabrício,M,8
Kauã,M,8
Inácio,M,8
Wesley,M,8
Noé,M,8
Artur Miguel,M,8
Tomás Gabriel,M,8
Rafael André,M,8
Mateus José,M,8
José Eduardo,M,8
Pedro António,M,8
Ricardo Jorge,M,8
Luís Manuel,M,8
Rafael Duarte,M,8
Luís Maria,M,8
Lourenço Dinis,M,8
Martim António,M,8
Tiago Afonso,M,8
Lourenço Alexandre,M,8
Luís Guilherme,M,8
Simão Daniel,M,8
Diego Gabriel,M,8
Guilherme António,M,8
Rodrigo António,M,8
Gustavo Rafael,M,8
Samuel Filipe,M,8
Tiago Henrique,M,8
Tomás Francisco,M,8
Lucas Santiago,M,8
Enzo Filipe,M,8
Gonçalo Duarte,M,8
Nuno Rafael,M,8
Francisco Martim,M,8
Tiago Martim,M,8
Gabriel António,M,8
Tiago Gabriel,M,8
Sandro Miguel,M,8
Tiago João,M,8
Manuel José,M,8
Vasco Manuel,M,8
Rafael João,M,8
David Rafael,M,8
Carlos Alberto,M,8
Paulo Alexandre,M,8
Salvador António,M,8
David Gabriel,M,8
Samanta,F,8
Martina,F,8
Alyssa,F,8
Lília,F,8
Ayla,F,8
Esmeralda,F,8
Suéli,F,8
Luena,F,8
Viktoria,F,8
Tiara,F,8
Ariele,F,8
Lua,F,8
Fernanda,F,8
Estela,F,8
Chloe,F,8
Aisha,F,8
Jéssica Filipa,F,8
Raquel Alexandra,F,8
Inês Beatriz,F,8
Núria Alexandra,F,8
Débora Filipa,F,8
Camila Sofia,F,8
Camila Alexandra,F,8
Ana João,F,8
Rita Isabel,F,8
Maria da Graça,F,8
Letícia Isabel,F,8
Carminho Maria,F,8
Sara Beatriz,F,8
Amélia Maria,F,8
Vitória Alexandra,F,8
Inês Miguel,F,8
Rafaela Filipa,F,8
Maria Mar,F,8
Kyara Alexandra,F,8
Rita Miguel,F,8
Irina Alexandra,F,8
Maria Valentina,F,8
Maria Júlia,F,8
Núria Sofia,F,8
Leonor Beatriz,F,8
Érica Filipa,F,8
Clara Beatriz,F,8
Soraia Filipa,F,8
Armando,M,7
Anderson,M,7
Isaías,M,7
Jónatas,M,7
Nataniel,M,7
Tito,M,7
Sílvio,M,7
Orlando,M,7
Marlon,M,7
Alfredo,M,7
Angélico,M,7
Válter,M,7
Iúri,M,7
Mohamed,M,7
Anselmo,M,7
Natanael,M,7
Levi,M,7
Cristian,M,7
Isael,M,7
Hélio,M,7
Bento,M,7
Carlos Miguel,M,7
Santiago Gabriel,M,7
Dinis António,M,7
Tomás Daniel,M,7
Miguel Tomás,M,7
Jorge Manuel,M,7
José Nuno,M,7
David Jorge,M,7
João Gil,M,7
Lucas Emanuel,M,7
Ricardo André,M,7
Rodrigo Maria,M,7
Diogo Afonso,M,7
Pedro Nuno,M,7
Carlos Manuel,M,7
Sérgio Daniel,M,7
Pedro Martim,M,7
Filipe Duarte,M,7
Matias Miguel,M,7
Ivo Miguel,M,7
José Fernando,M,7
